model,RMSE_Ts_full,RMSE_Tr_full,RMSE_H_full,RMSE_q_full,RMSE_Ts_measured_nodes,RMSE_Tr_measured_nodes,RMSE_supply_measured_C,RMSE_return_measured_C,RMSE_load_or_return_proxy,heat_load_consistency_error_percent,heat_loss_error_percent,energy_balance_residual,thermal_residual_mean,hydraulic_residual_mean,boundary_residual_mean,thermal_delay_error,inference_time_ms,loss_mode,architecture,training_time_s,parameter_count,window,regime,seed,window_start_utc,window_end_utc,window_timestamps,epochs_cap,batch_size,sensor_layout,normalization,state_type
GRU-MSE,0.4592507779598236,1.287423014640808,1.917893648147583,0.005443571601063013,0.46575674414634705,1.2528278827667236,0.46575674414634705,1.2528278827667236,1.2528278827667236,1.3020896911621094,1.0544921348871028,4.490807707095972,0.07989002019166946,1.4725871086120605,0.2781235873699188,0.5187250971794128,15.569299925118685,mse,gru,5.614609299926087,74580,shoulder_2016,late-autumn/heating-onset,33,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.3586480915546417,1.297136664390564,2.2287564277648926,0.006623345427215099,0.3859908878803253,1.2811048030853271,0.3859908878803253,1.2811048030853271,1.2811048030853271,1.3706034421920776,0.9441965165594164,3.0138038593173713,0.057850319892168045,1.7057832479476929,0.19048663973808289,0.45622941851615906,7.2697000578045845,mse,transformer,6.049420200055465,57812,shoulder_2016,late-autumn/heating-onset,33,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.547935426235199,1.3241342306137085,4.201736927032471,0.005242082756012678,0.5687832832336426,1.1497328281402588,0.5687832832336426,1.1497328281402588,1.1497328281402588,1.729111909866333,1.3001262468679033,4.0537485750734294,0.0897541418671608,3.1725618839263916,0.24130041897296906,0.6223053932189941,314.70514996908605,physics,pignn_v3,88.79203599994071,94600,shoulder_2016,late-autumn/heating-onset,33,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.4850326180458069,1.4271931648254395,5.302918910980225,0.005762864835560322,0.44378483295440674,1.1763275861740112,0.44378483295440674,1.1763275861740112,1.1763275861740112,1.4445914030075073,1.3259337149163326,4.622882234229634,0.09463384747505188,3.9027976989746094,0.10788232088088989,0.47244685888290405,95.07614991161972,physics,pignn_v3,86.32068999996409,94600,shoulder_2016,late-autumn/heating-onset,33,2016-11-08 19:30:00+00:00,2016-11-14 03:15:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
GRU-MSE,0.6476481556892395,1.8471488952636719,15.443379402160645,0.060203202068805695,0.632206916809082,1.8273943662643433,0.632206916809082,1.8273943662643433,1.8273943662643433,6.713581085205078,1.0118611915493292,5.790859366483788,0.05050105229020119,10.538087844848633,0.2713858485221863,0.8948249220848083,7.490850053727627,mse,gru,5.174784599803388,74580,late_winter_2018,later-year high-load,11,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.5786789059638977,1.980380654335022,19.623661041259766,0.06683036684989929,0.5987571477890015,2.1114838123321533,0.5987571477890015,2.1114838123321533,2.1114838123321533,4.199066162109375,1.205367380128229,3.5218529512990253,0.05086362361907959,13.612753868103027,0.17895740270614624,0.8620622158050537,3.0437001259997487,mse,transformer,5.716489099897444,57812,late_winter_2018,later-year high-load,11,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.6047077775001526,2.3261513710021973,10.325223922729492,0.04888768494129181,0.522490918636322,2.441859245300293,0.522490918636322,2.441859245300293,2.441859245300293,6.472959518432617,1.5066917177040222,5.209602622043091,0.09182091057300568,7.586999416351318,0.5950831174850464,0.3042570650577545,114.67854992952198,physics,pignn_v3,84.93641409999691,94600,late_winter_2018,later-year high-load,11,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.5839206576347351,2.2076728343963623,9.700078964233398,0.04905703663825989,0.4301222860813141,2.3566672801971436,0.4301222860813141,2.3566672801971436,2.3566672801971436,5.9172821044921875,1.3884448944759442,2.0179511748807064,0.050502076745033264,7.459819793701172,0.3870964050292969,0.3888424038887024,224.63734995108098,physics,pignn_v3,113.59286820003763,94600,late_winter_2018,later-year high-load,11,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
GRU-MSE,0.7085399031639099,1.7841771841049194,17.402793884277344,0.06091994419693947,0.668538510799408,1.7516511678695679,0.668538510799408,1.7516511678695679,1.7516511678695679,6.552221775054932,0.8890794383402062,7.128911373548473,0.058069001883268356,12.325263977050781,0.5796775221824646,0.5963869690895081,29.215450049377978,mse,gru,8.372698200168088,74580,late_winter_2018,later-year high-load,22,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.568359911441803,1.800639271736145,19.89635467529297,0.062470365315675735,0.6082147359848022,1.7728608846664429,0.6082147359848022,1.7728608846664429,1.7728608846664429,4.786587715148926,1.0535811407972895,3.5595985278088973,0.05459069833159447,13.706933975219727,0.22729098796844482,0.9112462401390076,4.901249893009663,mse,transformer,8.046171499881893,57812,late_winter_2018,later-year high-load,22,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.4095081686973572,2.4289958477020264,10.182812690734863,0.05552077293395996,0.34330761432647705,2.568720579147339,0.34330761432647705,2.568720579147339,2.568720579147339,7.683595180511475,1.8702966825052416,5.886410485652208,0.11259832233190536,7.478631496429443,0.3697965443134308,0.16799689829349518,520.8592501003295,physics,pignn_v3,111.35243319999427,94600,late_winter_2018,later-year high-load,22,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.5245130658149719,2.318235397338867,9.827309608459473,0.052068162709474564,0.4905354082584381,2.331148862838745,0.4905354082584381,2.331148862838745,2.331148862838745,7.14591121673584,1.5506447854499077,3.5413669821822764,0.06824824959039688,7.384959697723389,0.5389964580535889,0.37170636653900146,85.53859998937696,physics,pignn_v3,111.04605289991014,94600,late_winter_2018,later-year high-load,22,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
GRU-MSE,0.6668663620948792,2.139845371246338,15.948951721191406,0.061139725148677826,0.6393633484840393,2.214725971221924,0.6393633484840393,2.214725971221924,2.214725971221924,5.514588832855225,1.1879799311138293,5.363767836606213,0.057415712624788284,11.654792785644531,0.5832129716873169,0.6328403353691101,3.704549977555871,mse,gru,9.10985039989464,74580,late_winter_2018,later-year high-load,33,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Transformer-MSE,0.46473559737205505,2.0876688957214355,18.542739868164062,0.06786780059337616,0.4374794363975525,2.1540181636810303,0.4374794363975525,2.1540181636810303,2.1540181636810303,5.863498687744141,1.4279724198968373,2.818104152082602,0.0548969991505146,13.412576675415039,0.18325278162956238,0.627799928188324,3.5774499410763383,mse,transformer,7.029619500041008,57812,late_winter_2018,later-year high-load,33,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 accuracy_mode,0.6736623644828796,2.4352469444274902,9.418444633483887,0.04565019905567169,0.5412126183509827,2.5401928424835205,0.5412126183509827,2.5401928424835205,2.5401928424835205,5.087984561920166,1.5144200601077895,3.8763298661227608,0.07230119407176971,6.772427558898926,0.49630001187324524,0.3769981861114502,137.9614999750629,physics,pignn_v3,119.30499380012043,94600,late_winter_2018,later-year high-load,33,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
Proposed PI-GNN-GRU-v3 balanced_mode,0.44238272309303284,2.3679003715515137,9.996931076049805,0.05189000815153122,0.3120327293872833,2.5255773067474365,0.3120327293872833,2.5255773067474365,2.5255773067474365,6.011484146118164,1.6754724508158476,2.47148903875254,0.059457745403051376,7.211131572723389,0.2671848237514496,0.20517860352993011,143.79459992051125,physics,pignn_v3,100.57284789998084,94600,late_winter_2018,later-year high-load,33,2018-02-22 03:00:00+00:00,2018-02-27 10:45:00+00:00,512,12,32,S4_five_sensors,training_partition_only,calibrated-simulator/simulator-assisted benchmark targets
