timestamp,measured_supply_C,persistence_C,source_ridge_C,local_history_ridge_C
2018-04-04 21:00:00+00:00,87.63,86.23,85.12428325029694,89.53804578281537
2018-04-04 22:00:00+00:00,86.67,86.05,85.1725385014422,89.69553640169788
2018-04-04 23:00:00+00:00,85.66,87.21,85.49664652079518,89.58452748953384
2018-04-05 00:00:00+00:00,89.68,88.47,86.53755016959737,90.42050751732484
2018-04-05 01:00:00+00:00,93.43,88.99,87.2076482274225,90.87305720312057
2018-04-05 02:00:00+00:00,92.79,88.39,87.17588649865723,90.50438486672209
2018-04-05 03:00:00+00:00,91.47,87.63,86.45623691378964,89.12679526529185
2018-04-05 04:00:00+00:00,89.47,86.67,85.8616079304214,88.38145439107828
2018-04-05 05:00:00+00:00,87.84,85.66,86.00821633159701,88.28316819800872
2018-04-05 06:00:00+00:00,87.15,89.68,87.5765814468788,89.72177312984374
2018-04-05 07:00:00+00:00,87.49,93.43,87.91099818007902,90.30246684065987
2018-04-05 08:00:00+00:00,86.95,92.79,86.66757452861796,89.430256030329
2018-04-05 09:00:00+00:00,88.55,91.47,86.74583852081221,90.34601547193606
2018-04-05 10:00:00+00:00,92.43,89.47,86.54230383827478,89.47802899030181
2018-04-05 11:00:00+00:00,94.66,87.84,86.30365959421616,88.08934937999868
2018-04-05 12:00:00+00:00,96.63,87.15,87.805223304819,90.28192561691398
2018-04-05 13:00:00+00:00,95.58,87.49,88.68004679265928,91.2498483755029
2018-04-05 14:00:00+00:00,94.12,86.95,87.72818261477398,91.23792087507688
2018-04-05 15:00:00+00:00,95.92,88.55,87.9416002294619,92.16423532247428
2018-04-05 16:00:00+00:00,99.49,92.43,89.03223512461906,94.16994302662283
2018-04-05 17:00:00+00:00,98.03,94.66,88.70185554650656,94.0703209709078
2018-04-05 18:00:00+00:00,98.07,96.63,88.75753100873227,94.68282187403211
2018-04-05 19:00:00+00:00,97.99,95.58,88.86356257717964,95.81190020853838
2018-04-05 20:00:00+00:00,98.01,94.12,89.37139571462214,95.59576319006477
2018-04-05 21:00:00+00:00,97.96,95.92,90.79408471587838,96.91749971590679
2018-04-05 22:00:00+00:00,99.58,99.49,92.54506522529508,99.0723050382361
2018-04-05 23:00:00+00:00,98.99,98.03,91.46317690660855,97.98959323677963
2018-04-06 00:00:00+00:00,94.55,98.07,92.46122093874149,99.41178360618653
2018-04-06 01:00:00+00:00,95.92,97.99,92.3966324899037,98.02379647023999
2018-04-06 02:00:00+00:00,96.76,98.01,92.37648423344845,97.5396177421942
2018-04-06 03:00:00+00:00,97.52,97.96,92.83644234089799,97.51615967048444
2018-04-06 04:00:00+00:00,95.23,99.58,93.88577285760421,98.72947432154346
2018-04-06 05:00:00+00:00,91.66,98.99,92.63789884635709,97.4306248705722
2018-04-06 06:00:00+00:00,89.83,94.55,91.05392847795952,95.28619863489037
2018-04-06 07:00:00+00:00,90.11,95.92,92.19616672092519,96.39590600667576
2018-04-06 08:00:00+00:00,89.41,96.76,91.58037452826895,95.4288738318905
2018-04-06 09:00:00+00:00,86.56,97.52,91.1043907844092,95.37870980211198
2018-04-06 10:00:00+00:00,85.54,95.23,90.61611708155733,94.8731890196011
2018-04-06 11:00:00+00:00,86.77,91.66,90.04198649535488,92.91295046680011
2018-04-06 12:00:00+00:00,86.34,89.83,89.36801007454433,90.91370536087275
2018-04-06 13:00:00+00:00,83.1,90.11,89.68496481566278,90.51696254027392
2018-04-06 14:00:00+00:00,84.43,89.41,88.80816109679007,90.11084876056097
2018-04-06 15:00:00+00:00,85.52,86.56,87.05442959211636,88.40608042821727
2018-04-06 16:00:00+00:00,85.65,85.54,85.77938309640645,87.2126668364403
2018-04-06 17:00:00+00:00,86.15,86.77,85.59534680779302,87.4932250586441
2018-04-06 18:00:00+00:00,84.71,86.34,85.23178032035769,87.39442358090761
2018-04-06 19:00:00+00:00,85.8,83.1,84.93701283104406,88.05953630275035
2018-04-06 20:00:00+00:00,87.79,84.43,85.9013594618628,88.80754756295718
2018-04-06 21:00:00+00:00,90.65,85.52,84.84782405132161,87.89793171327175
2018-04-06 22:00:00+00:00,90.52,85.65,84.38547713593049,87.86851138567216
2018-04-06 23:00:00+00:00,92.46,86.15,85.79094104950185,90.25092319113445
2018-04-07 00:00:00+00:00,88.25,84.71,85.44695332424013,89.17994786052539
2018-04-07 01:00:00+00:00,94.49,85.8,85.73795527092807,89.03117704980977
2018-04-07 02:00:00+00:00,94.45,87.79,87.23636211665513,90.82528441341336
2018-04-07 03:00:00+00:00,90.98,90.65,88.09382223676896,91.01150380467182
2018-04-07 04:00:00+00:00,88.2,90.52,87.50746777321461,90.91901008666345
2018-04-07 05:00:00+00:00,86.19,92.46,88.54919843579619,91.77176121345776
2018-04-07 06:00:00+00:00,85.7,88.25,86.01908144391189,88.44666367176416
2018-04-07 07:00:00+00:00,85.18,94.49,89.3355674961899,92.04482782967456
2018-04-07 08:00:00+00:00,83.87,94.45,87.95328941239751,89.83829031164257
2018-04-07 09:00:00+00:00,84.45,90.98,87.71508051332518,90.72047884600384
2018-04-07 10:00:00+00:00,84.1,88.2,87.30025357316444,89.63728883334738
