step,measured_boundary_heat_load_kw,simulator_delivered_heat_kw,pignn_v3_delivered_heat_kw,pignn_v3_energy_residual_kw,state_type
39,76964.6875,75060.72793237986,75412.51491506898,-1276.2968407500284,calibrated_simulator
40,74991.875,76774.80441571497,76197.25721808993,-6346.207496136334,calibrated_simulator
41,74135.6875,74521.75394012779,74734.24840041035,-5960.615782353926,calibrated_simulator
42,74065.0625,73697.44025902855,74131.45046744138,-4150.304135580136,calibrated_simulator
43,73976.1328125,73746.34072271043,74035.05744208068,-4507.695842525395,calibrated_simulator
44,73221.1015625,73595.36210027797,73816.48102614535,-5262.256813008538,calibrated_simulator
45,73055.375,73028.01720468566,73358.75154085837,-5248.937928194832,calibrated_simulator
46,76082.359375,74351.09162576719,74476.18084577525,-935.6924702429505,calibrated_simulator
47,83785.046875,80813.5318494811,78715.86291614643,-48.72933372174157,calibrated_simulator
48,75317.7890625,75084.89079382621,75908.2053497652,-4313.838886761297,calibrated_simulator
49,75038.171875,75126.70594096855,75064.21338979245,-5280.23699804036,calibrated_simulator
50,76964.6875,75060.72793237986,75250.34674770589,-631.1811181239966,calibrated_simulator
51,74991.875,76774.80441571497,76048.72714603214,-6217.228792863783,calibrated_simulator
52,74135.6875,74521.75394012779,74577.10424900273,-5813.097906230908,calibrated_simulator
53,74065.0625,73697.44025902855,73971.99210310851,-3986.6747372255245,calibrated_simulator
54,73976.1328125,73746.34072271043,73881.48278759717,-4401.225130853344,calibrated_simulator
55,73221.1015625,73595.36210027797,73668.88696117685,-5201.796896005964,calibrated_simulator
56,73055.375,73028.01720468566,73215.69098799261,-5192.798454431574,calibrated_simulator
57,76082.359375,74351.09162576719,74345.30478753388,-887.9547068750544,calibrated_simulator
58,83785.046875,80813.5318494811,78606.25185064472,-62.8139747379646,calibrated_simulator
59,92437.5234375,89287.20983015401,84446.49409078242,881.3538456689312,calibrated_simulator
60,75038.171875,75126.70594096855,75779.2865318133,-2788.527985485459,calibrated_simulator
61,76964.6875,75060.72793237986,75471.44327714677,-926.4048923342868,calibrated_simulator
62,74991.875,76774.80441571497,76139.84087864358,-6689.778076197286,calibrated_simulator
63,74135.6875,74521.75394012779,74623.21332115712,-5927.76298051198,calibrated_simulator
64,74065.0625,73697.44025902855,73999.32586391956,-4036.150604097085,calibrated_simulator
65,73976.1328125,73746.34072271043,73901.35641110248,-4471.864596237073,calibrated_simulator
66,73221.1015625,73595.36210027797,73679.44675791975,-5264.790872283491,calibrated_simulator
67,73055.375,73028.01720468566,73215.40836130039,-5221.583925900643,calibrated_simulator
68,76082.359375,74351.09162576719,74346.58305037543,-839.8632648407902,calibrated_simulator
69,83785.046875,80813.5318494811,78625.77975518888,60.828160026891965,calibrated_simulator
70,92437.5234375,89287.20983015401,84500.56311795775,806.9383204516871,calibrated_simulator
71,94792.390625,95401.66742585304,90069.75801789277,5458.996038972209,calibrated_simulator
72,76964.6875,75060.72793237986,76787.69647019621,-4822.012594657306,calibrated_simulator
73,74991.875,76774.80441571497,76368.17647475854,-6865.867911526335,calibrated_simulator
